jakso,tyo_materiaali,tyo_harjoitukset,haaste_materiaali,haaste_harjoitukset,hyodyllisyys,innostavuus,soveltuvuus
python-1.csv,2.93426,2.74394,2.77855,2.6609,3.32526,3.44637,3.30796,
python-2.csv,2.96618,2.84058,2.85507,2.71498,3.34783,3.36715,3.37681,
python-3.csv,2.99363,2.92994,2.97452,2.91083,3.24204,3.17834,3.07006,
python-4.csv,2.992,2.944,3.08,3.088,3.096,3.072,2.944,
python-5.csv,2.95455,2.94545,3.1,3.16364,2.97273,2.96364,2.83636,
racket-1.csv,3.04196,2.99301,2.98601,2.97902,3.67133,3.75524,3.69231,
racket-2.csv,3.02105,3.12632,2.98947,3.17895,3.59474,3.41053,3.43684,
racket-3.csv,3.01923,3.29808,2.97115,3.34615,3.55769,3.65385,3.46154,
racket-4.csv,3.04317,3.21583,3.27338,3.46043,3.48201,3.36691,3.18705,
racket-5.csv,3.04878,3.07317,3.12195,3.29268,3.59756,3.54878,3.58537,
racket-6.csv,3.01562,3.03125,2.98438,3.07812,3.59375,3.85938,3.67188,
racket-7.csv,2.91803,2.88525,2.96721,2.90164,3.91803,3.60656,3.88525,
scratch-1.csv,2.91343,2.91343,2.85075,2.88955,3.56716,3.56119,3.70746,
scratch-2.csv,2.79715,2.95374,2.78292,3.01779,3.54804,3.47331,3.71174,
scratch-3.csv,2.792,2.964,2.844,3.036,3.62,3.512,3.684,
scratch-4.csv,2.63793,2.91379,2.80172,3.06897,3.65948,3.59914,3.68534,
scratch-5.csv,2.76959,2.8341,2.83871,2.83871,3.63594,3.6129,3.73733,
scratch-6.csv,2.93642,3.02312,2.97688,3.08092,3.90751,3.81503,3.89595,
scratchjr-1.csv,2.92241,2.90086,2.81897,2.81466,3.77155,3.78017,3.93534,
scratchjr-2.csv,2.91905,2.91429,2.82381,2.82381,3.74286,3.74762,3.99524,
scratchjr-3.csv,2.80526,2.99474,2.83158,3.06316,3.85263,3.77368,3.9,
scratchjr-4.csv,1.78531,2.88701,2.92655,2.87006,2.96045,3.81356,3.87571,
scratchjr-5.csv,2.91447,3,2.88816,3.02632,3.90132,3.86842,3.94079,
